2024-09-13 18:51:21,507 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Current SDK version is 0.18.0
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Configure stats pid to 21089
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Loading settings from /home/afs/.config/wandb/settings
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Loading settings from /home/afs/cow/wandb/settings
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Applying setup settings: {'_disable_service': False}
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'LSTM.py', 'program_abspath': '/home/afs/cow/LSTM.py', 'program': '/home/afs/cow/LSTM.py'}
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_init.py:_log_setup():525] Logging user logs to /home/afs/cow/wandb/run-20240913_185121-9plmc1yw/logs/debug.log
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_init.py:_log_setup():526] Logging internal logs to /home/afs/cow/wandb/run-20240913_185121-9plmc1yw/logs/debug-internal.log
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_init.py:init():609] calling init triggers
2024-09-13 18:51:21,508 INFO    MainThread:21089 [wandb_init.py:init():616] wandb.init called with sweep_config: {}
config: {}
2024-09-13 18:51:21,509 INFO    MainThread:21089 [wandb_init.py:init():659] starting backend
2024-09-13 18:51:21,509 INFO    MainThread:21089 [wandb_init.py:init():663] setting up manager
2024-09-13 18:51:21,510 INFO    MainThread:21089 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-13 18:51:21,511 INFO    MainThread:21089 [wandb_init.py:init():671] backend started and connected
2024-09-13 18:51:21,512 INFO    MainThread:21089 [wandb_init.py:init():766] updated telemetry
2024-09-13 18:51:21,513 INFO    MainThread:21089 [wandb_init.py:init():799] communicating run to backend with 90.0 second timeout
2024-09-13 18:51:21,911 INFO    MainThread:21089 [wandb_init.py:init():850] starting run threads in backend
2024-09-13 18:51:21,939 INFO    MainThread:21089 [wandb_run.py:_console_start():2466] atexit reg
2024-09-13 18:51:21,939 INFO    MainThread:21089 [wandb_run.py:_redirect():2312] redirect: wrap_raw
2024-09-13 18:51:21,939 INFO    MainThread:21089 [wandb_run.py:_redirect():2377] Wrapping output streams.
2024-09-13 18:51:21,939 INFO    MainThread:21089 [wandb_run.py:_redirect():2402] Redirects installed.
2024-09-13 18:51:21,940 INFO    MainThread:21089 [wandb_init.py:init():893] run started, returning control to user process
2024-09-14 22:11:54,500 INFO    MainThread:21089 [wandb_run.py:_finish():2163] finishing run mie-univ/cow_HeartRate_and_Breath/9plmc1yw
2024-09-14 22:11:54,500 INFO    MainThread:21089 [wandb_run.py:_atexit_cleanup():2427] got exitcode: 0
2024-09-14 22:11:54,501 INFO    MainThread:21089 [wandb_run.py:_restore():2409] restore
2024-09-14 22:11:54,501 INFO    MainThread:21089 [wandb_run.py:_restore():2415] restore done
2024-09-14 22:11:54,501 INFO    MainThread:21089 [wandb_run.py:_on_finish():2680] communicating current version
2024-09-14 22:11:58,540 INFO    MainThread:21089 [wandb_run.py:_on_finish():2689] got version response 
2024-09-14 22:12:01,735 INFO    MainThread:21089 [wandb_run.py:_footer_history_summary_info():4104] rendering history
2024-09-14 22:12:01,735 INFO    MainThread:21089 [wandb_run.py:_footer_history_summary_info():4136] rendering summary
2024-09-14 22:12:01,737 INFO    MainThread:21089 [wandb_run.py:_footer_sync_info():4063] logging synced files
